Num,doc_type,Person,Adressee,Location,Country,Full Address,Latitude,Longitude,fix_date
1,Chronicle,Pere el Cerimonios,,Zaragoza,Spain,Zaragoza Spain ,41.6488226,-0.8890853,1/24/1336
2,Missatgeria,Pere el Cerimonios,Pope,Zaragoza,Spain,Zaragoza Spain ,41.6488226,-0.8890853,2/28/1336
3,Comissio,Pere el Cerimonios,Ramon Boil,Zaragoza,Spain,Zaragoza Spain ,41.6488226,-0.8890853,5/15/1336
4,Comissio,Pere el Cerimonios,fra Miquel de Fraga,Zaragoza,Spain,Zaragoza Spain ,41.6488226,-0.8890853,5/23/1336
5,Ordre,Pere el Cerimonios,alcaid del castell de Corbera,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,10/12/1336
6,Letter,Pere el Cerimonios,l'infant Jaume,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,10/19/1336
7,Letter,Pere el Cerimonios,fra Dalmau de Cruilles,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,12/2/1336
8,Letter,Pere el Cerimonios,vescomte de Rocaberti,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,1/10/1337
9,Revocation,Pere el Cerimonios,,Gandesa,Spain,Gandesa Spain ,41.0524377,0.4372669,6/17/1337
10,Cedula,Pere el Cerimonios,merino de Saragossa,Montalban,Spain,Montalban Spain ,40.8327391,-0.8002439,7/6/1337
11,Letter,Pere el Cerimonios,consellers Galceran Marquet i Arnau Ballester,Daroca,Spain,Daroca Spain ,41.1144048,-1.4144344,9/19/1337
12,Letter,Pere el Cerimonios,Francesc de Mataro,Daroca,Spain,Daroca Spain ,41.1144048,-1.4144344,10/2/1337
13,Circular,Pere el Cerimonios,aljames de moros del regne de Valencia,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,12/13/1337
14,Letter,Pere el Cerimonios,Jaume Cervia,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,1/28/1338
15,Lletra dissimulada,Pere el Cerimonios,Bernat de Cancerch,Valencia,Spain,Valencia Spain ,39.4699075,-0.3762881,3/4/1338
